RoomNumebr,Line ID,Date,Bill,Member
201,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1071.00,3
202,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1052.00,4
203,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1741.00,3
204,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1682.00,3
205,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1992.00,4
206,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1777.00,4
207,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1978.00,3
208,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1075.00,4
209,xxxxxxxxxxxxxxxxxxxx,9/7/2024,944.00,4
210,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1020.00,3
211,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1276.00,4
212,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1912.00,4
213,xxxxxxxxxxxxxxxxxxxx,9/7/2024,893.00,3
214,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1635.00,3
215,xxxxxxxxxxxxxxxxxxxx,9/7/2024,930.00,3
216,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1332.00,3
217,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1380.00,3
218,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1070.00,4
219,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1639.00,4
220,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1864.00,4
221,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1609.00,3
222,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1294.00,4
223,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1239.00,3
224,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1401.00,4
225,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1249.00,3
226,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1893.00,3
227,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1102.00,4
301,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1668.00,3
302,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1901.00,3
303,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1805.00,4
304,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1919.00,4
305,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1503.00,3
306,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1025.00,4
307,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1177.00,3
308,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1421.00,4
309,xxxxxxxxxxxxxxxxxxxx,9/7/2024,849.00,4
310,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1496.00,3
311,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1550.00,4
312,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1856.00,3
313,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1331.00,3
314,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1694.00,3
315,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1752.00,3
316,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1162.00,3
317,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1020.00,4
